"Fx0"	"z"	"Lx0"
7.34682979824985e-14	0.025	1.0482390980716e+41
7.34682979824985e-14	0.025	1.0482390980716e+41
7.34682979824985e-14	0.025	1.0482390980716e+41
8.05563868455599e-14	0.025	1.14937131538031e+41
8.05563868455599e-14	0.025	1.14937131538031e+41
8.05563868455599e-14	0.025	1.14937131538031e+41
8.05563868455599e-14	0.025	1.14937131538031e+41
8.05563868455599e-14	0.025	1.14937131538031e+41
8.05563868455599e-14	0.025	1.14937131538031e+41
8.05563868455599e-14	0.025	1.14937131538031e+41
8.05563868455599e-14	0.025	1.14937131538031e+41
8.05563868455599e-14	0.025	1.14937131538031e+41
8.05563868455599e-14	0.025	1.14937131538031e+41
8.83283217362321e-14	0.025	1.26026058658692e+41
8.83283217362321e-14	0.025	1.26026058658692e+41
8.83283217362321e-14	0.025	1.26026058658692e+41
8.83283217362321e-14	0.025	1.26026058658692e+41
8.83283217362321e-14	0.025	1.26026058658692e+41
8.83283217362321e-14	0.025	1.26026058658692e+41
8.83283217362321e-14	0.025	1.26026058658692e+41
8.83283217362321e-14	0.025	1.26026058658692e+41
9.68500788856986e-14	0.025	1.38184825465117e+41
9.68500788856986e-14	0.025	1.38184825465117e+41
1.06193999792916e-13	0.025	1.51516648160353e+41
1.06193999792916e-13	0.025	1.51516648160353e+41
1.16439405334166e-13	0.025	1.66134701060525e+41
1.16439405334166e-13	0.025	1.66134701060525e+41
1.16439405334166e-13	0.025	1.66134701060525e+41
1.16439405334166e-13	0.025	1.66134701060525e+41
1.16439405334166e-13	0.025	1.66134701060525e+41
1.27673269120792e-13	0.025	1.82163077335632e+41
1.27673269120792e-13	0.025	1.82163077335632e+41
1.27673269120792e-13	0.025	1.82163077335632e+41
1.27673269120792e-13	0.025	1.82163077335632e+41
1.27673269120792e-13	0.025	1.82163077335632e+41
1.39990955821269e-13	0.025	1.99737842440865e+41
1.39990955821269e-13	0.025	1.99737842440865e+41
1.39990955821269e-13	0.025	1.99737842440865e+41
