Lx  zmed        
   1.6000000e-02   9.8000000e-03
   2.2000000e-02   2.0000000e-02
   3.1000000e-02   1.6000000e-02
   4.4000000e-02   1.7600000e-02
   6.3000000e-02   1.8000000e-02
   8.9000000e-02   3.2200000e-02
   1.2500000e-01   3.0000000e-02
   1.7700000e-01   4.0400000e-02
   2.5100000e-01   5.0150000e-02
   3.5500000e-01   5.1900000e-02
   5.0200000e-01   5.8250000e-02
   7.1000000e-01   6.9400000e-02
   1.0040000e+00   8.3800000e-02
   1.4200000e+00   9.9800000e-02
   2.0080000e+00   1.1840000e-01
   2.8400000e+00   1.4985000e-01
   4.0160000e+00   1.6510000e-01
   5.6790000e+00   2.1700000e-01
   8.0320000e+00   2.5450000e-01
   1.1358000e+01   2.8390000e-01
   1.6064000e+01   2.5420000e-01
   2.2716000e+01   2.9650000e-01
   3.2128000e+01   2.8140000e-01
