bin_centre,bin_edge_lower,bin_edge_upper,phi,delta_L
1.0826468800729394e+42,8.966839132653063e+41,1.2686098468805724e+42,2.0648703001435363e-51,3.719259336152662e+41
1.5317064044938318e+42,1.2686098468805724e+42,1.7948029621070912e+42,3.5442169227581754e-51,5.261931152265188e+41
2.1670265279934675e+42,1.7948029621070912e+42,2.539250093879844e+42,5.249255921537435e-52,7.444471317727529e+41
3.065864293085143e+42,2.539250093879844e+42,3.592478492290442e+42,5.3096930144884626e-52,1.0532283984105981e+42
4.3375213649635453e+42,3.592478492290442e+42,5.0825642376366485e+42,3.754485698911883e-52,1.4900857453462063e+42
6.136635477946316e+42,5.0825642376366485e+42,7.190706718255983e+42,1.3741698497184718e-52,2.1081424806193342e+42
8.681984898881507e+42,7.190706718255983e+42,1.0173263079507031e+43,7.66580423307783e-53,2.982556361251049e+42
1.228309259288644e+43,1.0173263079507031e+43,1.439292210626585e+43,1.002768478641447e-52,4.219659026758819e+42
1.7377865246558857e+43,1.439292210626585e+43,2.0362808386851864e+43,4.737316729885768e-53,5.969886280586014e+42
2.4585844179213544e+43,2.0362808386851864e+43,2.880887997157523e+43,1.3273242509659713e-53,8.446071584723366e+42
3.478354363026631e+43,2.880887997157523e+43,4.0758207288957393e+43,5.360935900973328e-54,1.1949327317382163e+43
4.921103780937384e+43,4.0758207288957393e+43,5.766386832979029e+43,1.8946191353745284e-54,1.6905661040832896e+43
6.962275804953901e+43,5.766386832979029e+43,8.158164776928772e+43,6.695811579235531e-55,2.391777943949743e+43
9.850083749912878e+43,8.158164776928772e+43,1.1542002722896985e+44,4.7327604654177725e-55,3.383837945968213e+43
1.3935694677775005e+44,1.1542002722896985e+44,1.6329386632653025e+44,6.690457566781997e-55,4.78738390975604e+43
